Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Cluster Spending Behavior,Cluster Product Preference,Cluster Loyalty and Engagement,Cluster Demographic,Cluster Payment and Shipping
80,38,1,10,3,96,14,1,13,3,2.6,1,0,1,1,43,0,2,1,0,0,1,1
81,19,1,14,2,72,31,3,2,2,3.3,1,5,1,1,24,2,2,1,2,0,1,2
82,67,1,17,2,96,45,0,12,2,2.6,1,1,1,1,36,2,2,1,1,0,1,1
83,19,1,13,1,28,9,2,13,1,4.0,1,0,1,1,21,2,2,1,2,0,1,1
84,36,1,5,1,40,42,1,21,2,4.1,1,4,1,1,34,0,6,1,3,0,1,2
85,52,1,4,3,32,2,2,15,1,4.4,1,4,1,1,42,0,2,1,0,0,1,2
86,53,1,22,0,95,30,1,4,3,4.5,1,3,1,1,2,3,1,1,1,0,1,0
87,24,1,9,1,41,27,0,16,1,3.7,1,0,1,1,47,1,1,1,3,0,1,1
88,52,1,17,2,53,34,1,8,0,3.7,1,0,1,1,44,3,3,1,1,0,1,3
89,33,1,24,1,47,49,1,14,0,3.5,1,2,1,1,35,2,4,1,1,0,1,1
90,47,1,10,3,83,4,3,16,0,3.6,1,3,1,1,15,1,5,1,0,0,1,2
91,25,1,8,0,48,39,0,22,2,2.9,1,1,1,1,29,2,4,1,3,0,1,1
92,44,1,15,0,99,39,2,8,3,4.6,1,4,1,1,18,2,2,1,2,0,1,2
93,61,1,10,3,87,42,1,13,3,4.4,1,0,1,1,13,5,2,1,0,0,1,3
94,37,1,23,1,62,8,1,17,0,4.5,1,4,1,1,46,2,6,1,1,0,1,2
95,58,1,19,1,76,27,2,19,1,4.6,1,2,1,1,28,2,6,1,2,0,1,1
96,37,1,20,2,100,24,0,16,0,3.8,1,2,1,1,48,4,4,1,1,0,1,3
97,32,1,6,0,73,7,2,6,1,3.6,1,1,1,1,43,5,2,1,3,0,1,3
98,21,1,17,2,92,45,1,20,3,4.8,1,5,1,1,37,1,0,1,1,0,1,2
99,20,1,11,1,67,31,3,20,1,2.6,1,3,1,1,20,0,0,1,2,0,1,2
100,26,1,9,1,40,24,3,9,2,3.7,1,1,1,1,33,3,5,1,2,0,1,3
101,62,1,22,0,98,40,1,12,0,2.7,1,1,1,1,31,1,3,1,1,0,1,1
102,27,1,4,3,85,33,3,23,1,4.6,1,1,1,1,50,2,1,1,0,0,1,1
103,51,1,21,1,67,35,0,22,3,4.8,1,3,1,1,35,2,5,1,1,0,1,2
104,54,1,3,2,89,47,0,18,3,4.0,1,3,1,1,22,5,1,1,0,0,1,0
105,55,1,22,0,24,28,0,16,1,4.4,1,0,1,1,1,4,4,1,1,0,1,3
106,69,1,0,0,96,31,1,4,0,3.6,1,3,1,1,4,0,0,1,3,0,1,2
107,64,1,10,3,35,22,0,23,2,3.7,1,4,1,1,31,2,4,1,0,0,1,2
108,28,1,20,2,67,19,0,13,3,3.1,1,3,1,1,46,4,3,1,1,0,1,0
109,70,1,21,1,79,25,0,17,1,3.4,1,3,1,1,32,0,1,1,1,0,1,2
110,58,1,24,1,85,0,1,22,1,2.6,1,3,1,1,43,0,3,1,1,0,1,2
111,56,1,0,0,26,31,1,1,2,4.0,1,4,1,1,26,5,3,1,3,0,1,0
112,26,1,1,0,75,20,0,17,2,5.0,1,2,1,1,9,2,0,1,3,0,1,1
113,37,1,6,0,65,8,1,18,1,4.3,1,2,1,1,28,4,1,1,3,0,1,3
114,44,1,8,0,54,29,0,12,3,3.1,1,3,1,1,20,4,5,1,3,0,1,0
115,70,1,4,3,95,20,2,2,2,3.7,1,5,1,1,9,1,6,1,0,0,1,2
116,53,1,19,1,94,49,1,7,1,3.8,1,4,1,1,48,3,2,1,1,0,1,0
117,55,1,17,2,86,45,2,2,1,3.4,1,2,1,1,12,5,0,1,2,0,1,3
118,50,1,14,2,32,40,0,24,2,4.6,1,1,1,1,29,1,3,1,1,0,1,1
119,50,1,23,1,45,16,0,14,0,4.8,1,0,1,1,27,1,1,1,1,0,1,1
120,38,1,4,3,76,49,1,14,0,4.3,1,1,1,1,44,1,0,1,0,0,1,1
121,64,1,8,0,84,47,0,18,2,4.0,1,1,1,1,32,0,0,1,3,0,1,1
122,19,1,18,1,72,45,1,13,3,4.2,1,4,1,1,11,1,3,1,1,0,1,2
123,40,1,0,0,40,46,0,3,1,4.8,1,0,1,1,44,1,3,1,3,0,1,1
124,57,1,23,1,89,17,0,3,0,3.1,1,2,1,1,46,1,6,1,1,0,1,1
125,44,1,23,1,86,27,1,7,1,3.1,1,3,1,1,50,4,0,1,1,0,1,0
126,49,1,18,1,54,4,1,9,3,3.6,1,3,1,1,45,5,2,1,1,0,1,0
127,43,1,18,1,36,23,0,16,1,3.9,1,5,1,1,48,1,2,1,1,0,1,2
128,24,1,23,1,89,23,1,7,3,4.8,1,3,1,1,26,2,6,1,1,0,1,2
129,20,1,15,0,32,4,1,6,1,4.7,1,4,1,1,21,2,3,1,3,0,1,2
130,24,1,5,1,67,37,3,13,2,4.2,1,0,1,1,49,4,1,1,2,0,1,3
131,44,1,15,0,39,16,0,22,0,3.7,1,3,1,1,13,4,3,1,1,0,1,0
132,28,1,19,1,29,18,0,9,2,3.9,1,4,1,1,46,2,6,1,1,0,1,2
133,30,1,0,0,58,30,1,14,0,4.7,1,0,1,1,42,4,6,1,3,0,1,3
134,52,1,23,1,65,25,1,22,3,2.5,1,3,1,1,25,5,0,1,1,0,1,0
135,43,1,8,0,94,42,0,7,0,4.9,1,5,1,1,25,1,4,1,3,0,1,2
136,43,1,14,2,81,15,1,17,0,4.1,1,1,1,1,12,4,5,1,0,0,1,3
137,39,1,2,1,86,39,1,23,3,3.3,1,2,1,1,4,3,5,1,3,0,1,3
138,68,1,20,2,43,5,1,21,1,4.7,1,2,1,1,38,4,6,1,1,0,1,3
139,68,1,19,1,29,9,1,12,3,4.4,1,5,1,1,42,0,6,1,1,0,1,2
140,49,1,4,3,95,8,1,23,0,3.8,1,5,1,1,30,5,0,1,0,0,1,0
141,63,1,16,1,28,32,0,24,0,3.9,1,0,1,1,50,2,6,1,1,0,1,1
142,56,1,6,0,46,45,1,21,0,4.9,1,2,1,1,45,4,6,1,3,0,1,3
143,37,1,10,3,58,26,0,22,0,3.1,1,2,1,1,33,2,3,1,0,0,1,1
144,30,1,4,3,48,24,1,0,0,2.7,1,5,1,1,25,4,5,1,0,0,1,0
145,19,1,17,2,43,29,1,19,0,3.2,1,1,1,1,25,1,4,1,1,0,1,1
146,24,1,12,0,95,24,1,20,0,4.5,1,4,1,1,44,3,5,1,3,0,1,0
147,52,1,19,1,30,5,2,1,0,4.0,1,4,1,1,21,5,3,1,2,0,1,0
148,63,1,17,2,64,11,1,17,2,3.5,1,0,1,1,31,0,3,1,1,0,1,1
149,37,1,6,0,90,49,1,7,0,2.6,1,5,1,1,47,3,0,1,3,0,1,0
150,38,1,13,1,76,7,1,23,2,3.2,1,2,1,1,14,4,4,1,1,0,1,3
151,35,1,3,2,96,4,0,5,0,4.9,1,4,1,1,17,3,2,1,0,0,1,0
152,28,1,22,0,47,33,0,21,0,4.5,1,3,1,1,3,5,0,1,1,0,1,0
153,30,1,16,1,85,39,2,3,2,4.3,1,1,1,1,42,5,0,1,2,0,1,3
154,69,1,9,1,55,32,1,12,3,3.2,1,4,1,1,22,3,0,1,3,0,1,0
155,41,1,5,1,98,35,1,4,0,3.6,1,3,1,1,21,5,5,1,3,0,1,0
156,63,1,21,1,77,18,2,13,1,4.3,1,2,1,1,21,0,5,1,2,0,1,1
157,35,1,18,1,26,24,1,10,0,4.0,1,4,1,1,40,3,0,1,1,0,1,0
158,36,1,8,0,68,44,2,24,0,3.0,1,3,1,1,1,0,3,1,3,0,1,2
159,25,1,16,1,73,6,3,20,0,4.1,1,4,1,1,50,0,4,1,2,0,1,2
160,58,1,6,0,27,28,1,4,0,3.8,1,5,1,1,39,0,2,1,3,0,1,2
161,27,1,6,0,23,42,1,14,2,4.6,1,2,1,1,34,5,4,1,3,0,1,3
162,65,1,0,0,49,33,1,13,0,3.0,1,1,1,1,29,5,3,1,3,0,1,3
163,54,1,22,0,74,4,1,21,2,3.0,1,5,1,1,31,4,1,1,1,0,1,0
164,54,1,19,1,67,45,1,17,2,3.4,1,4,1,1,8,3,6,1,1,0,1,0
165,59,1,7,0,65,7,2,17,1,2.6,1,2,1,1,5,2,3,1,3,0,1,1
166,42,1,7,0,60,16,2,24,3,2.8,1,5,1,1,7,1,4,1,2,0,1,2
167,46,1,20,2,31,7,3,9,0,4.0,1,5,1,1,30,1,4,1,2,0,1,2
168,33,1,6,0,27,3,1,8,0,4.0,1,1,1,1,14,2,2,1,3,0,1,1
169,34,1,17,2,80,17,1,11,2,3.0,1,1,1,1,5,1,3,1,1,0,1,1
170,27,1,10,3,30,27,2,6,2,3.3,1,4,1,1,3,4,2,1,0,0,1,0
171,52,1,16,1,25,49,1,12,0,2.6,1,5,1,1,46,5,1,1,1,0,1,0
172,29,1,18,1,35,45,1,2,2,3.6,1,5,1,1,4,2,6,1,1,0,1,2
173,54,1,12,0,67,26,1,22,2,3.9,1,3,1,1,42,2,1,1,3,0,1,2
174,25,1,8,0,46,10,1,21,0,3.4,1,4,1,1,30,1,0,1,3,0,1,2
175,41,1,17,2,35,44,0,3,3,3.5,1,1,1,1,37,5,0,1,1,0,1,3
176,53,1,4,3,86,35,0,22,0,2.8,1,3,1,1,2,0,0,1,0,0,1,2
177,53,1,0,0,81,28,0,1,1,2.7,1,3,1,1,30,2,5,1,3,0,1,2
178,21,1,9,1,42,15,0,11,0,3.7,1,3,1,1,47,0,4,1,3,0,1,2
179,61,1,19,1,43,11,0,10,0,4.3,1,0,1,1,21,4,5,1,1,0,1,3
180,64,1,3,2,31,12,1,22,0,4.9,1,5,1,1,9,0,3,1,0,0,1,2
181,51,1,14,2,81,40,0,8,0,3.3,1,5,1,1,12,3,3,1,1,0,1,0
182,32,1,13,1,61,20,1,0,2,4.7,1,3,1,1,4,0,6,1,1,0,1,2
183,38,1,6,0,96,0,3,17,2,2.8,1,5,1,1,10,3,0,1,2,0,1,0
184,58,1,19,1,29,34,3,0,1,3.6,1,0,1,1,26,2,6,1,2,0,1,1
185,32,1,20,2,33,10,0,5,1,3.0,1,1,1,1,40,1,3,1,1,0,1,1
186,46,1,24,1,32,48,3,19,2,4.5,1,5,1,1,34,0,3,1,2,0,1,2
187,39,1,0,0,56,22,2,10,2,2.9,1,4,1,1,31,3,0,1,3,0,1,0
188,19,1,17,2,94,9,2,17,1,3.3,1,5,1,1,1,0,1,1,2,0,1,2
189,50,1,9,1,53,3,1,16,1,3.1,1,1,1,1,5,0,1,1,3,0,1,1
190,36,1,2,1,82,47,1,12,0,4.4,1,3,1,1,4,2,6,1,3,0,1,2
191,65,1,4,3,70,13,3,0,0,3.0,1,2,1,1,48,5,5,1,0,0,1,3
192,64,1,8,0,76,43,1,7,0,3.9,1,2,1,1,29,1,2,1,3,0,1,1
193,46,1,17,2,29,26,0,21,2,2.9,1,1,1,1,12,4,1,1,1,0,1,3
194,36,1,1,0,100,33,2,19,0,3.0,1,4,1,1,29,5,0,1,3,0,1,0
195,51,1,0,0,94,24,1,13,1,3.1,1,1,1,1,15,3,5,1,3,0,1,3
196,51,1,10,3,25,31,1,11,0,4.3,1,2,1,1,34,2,4,1,0,0,1,1
197,38,1,3,2,88,46,1,10,2,3.9,1,3,1,1,41,2,3,1,0,0,1,2
198,59,1,15,0,78,39,1,1,0,3.2,1,0,1,1,41,2,4,1,3,0,1,1
199,57,1,12,0,45,43,1,21,3,4.8,1,4,1,1,39,2,3,1,3,0,1,2
200,54,1,8,0,73,11,3,8,2,3.8,1,1,1,1,32,1,6,1,2,0,1,1
201,25,1,5,1,61,37,2,20,2,3.3,1,3,1,1,29,5,4,1,2,0,1,0
202,69,1,2,1,22,24,2,0,0,4.3,1,2,1,1,15,0,0,1,3,0,1,1
203,57,1,8,0,38,26,0,11,1,2.7,1,1,1,1,33,5,0,1,3,0,1,3
204,70,1,15,0,38,13,2,24,0,3.2,1,3,1,1,18,0,6,1,2,0,1,2
205,24,1,20,2,100,2,1,24,0,4.0,1,5,1,1,35,1,1,1,1,0,1,2
206,67,1,16,1,64,10,1,19,3,3.0,1,4,1,1,25,4,6,1,1,0,1,0
207,24,1,24,1,55,48,0,19,2,4.2,1,2,1,1,6,5,3,1,1,0,1,3
208,62,1,6,0,91,38,1,19,2,2.9,1,1,1,1,17,0,1,1,3,0,1,1
209,57,1,19,1,38,48,1,6,1,4.1,1,5,1,1,17,2,4,1,1,0,1,2
210,55,1,14,2,97,22,2,13,3,3.2,1,5,1,1,44,1,2,1,2,0,1,2
211,45,1,10,3,22,44,0,20,0,3.0,1,0,1,1,6,4,3,1,0,0,1,3
212,69,1,19,1,92,40,0,12,0,4.2,1,0,1,1,45,3,3,1,1,0,1,3
213,67,1,7,0,84,45,0,2,0,4.2,1,1,1,1,7,3,0,1,3,0,1,3
214,30,1,7,0,93,27,0,15,0,4.4,1,5,1,1,11,3,2,1,3,0,1,0
215,24,1,10,3,50,10,0,2,2,4.2,1,3,1,1,41,1,2,1,0,0,1,2
216,62,1,15,0,64,29,2,14,1,2.8,1,0,1,1,24,4,1,1,2,0,1,3
217,43,1,18,1,61,20,0,24,1,3.7,1,2,1,1,21,5,6,1,1,0,1,3
218,35,1,22,0,48,35,1,17,3,3.5,1,3,1,1,24,0,0,1,1,0,1,2
219,28,1,24,1,45,4,2,11,1,2.9,1,5,1,1,8,2,5,1,2,0,1,2
220,32,1,1,0,88,27,1,5,1,3.0,1,2,1,1,12,1,3,1,3,0,1,1
221,39,1,20,2,57,2,2,9,1,3.7,1,1,1,1,48,3,3,1,2,0,1,3
222,28,1,8,0,68,32,3,11,2,4.4,1,5,1,1,6,0,5,1,2,0,1,2
223,47,1,6,0,94,31,3,7,1,4.5,1,0,1,1,14,4,3,1,2,0,1,3
224,20,1,13,1,41,49,1,21,1,4.8,1,2,1,1,34,4,0,1,1,0,1,3
225,63,1,21,1,83,40,2,0,2,2.9,1,2,1,1,12,1,2,1,2,0,1,1
226,25,1,10,3,22,3,1,13,1,3.2,1,3,1,1,11,0,0,1,0,0,1,2
227,29,1,17,2,74,42,0,22,1,3.3,1,2,1,1,5,4,4,1,1,0,1,3
228,50,1,11,1,90,38,1,21,3,4.2,1,4,1,1,25,5,3,1,1,0,1,0
229,18,1,21,1,79,28,1,23,1,2.9,1,5,1,1,11,2,0,1,1,0,1,2
230,70,1,14,2,28,34,2,19,1,4.6,1,3,1,1,27,4,2,1,2,0,1,0
231,66,1,15,0,88,43,0,13,0,4.1,1,4,1,1,43,2,0,1,1,0,1,2
232,28,1,2,1,26,41,1,2,1,3.1,1,0,1,1,18,3,2,1,3,0,1,3
233,54,1,12,0,27,10,0,17,3,4.2,1,1,1,1,32,0,1,1,1,0,1,1
234,19,1,23,1,83,2,3,24,0,4.5,1,3,1,1,27,0,2,1,2,0,1,2
235,20,1,6,0,39,40,2,19,2,3.7,1,3,1,1,24,2,6,1,3,0,1,2
236,43,1,22,0,89,29,1,5,3,3.7,1,2,1,1,31,3,5,1,1,0,1,3
237,38,1,4,3,68,33,0,8,3,3.4,1,3,1,1,39,4,3,1,0,0,1,0
238,50,1,5,1,90,14,1,0,2,3.0,1,5,1,1,36,3,3,1,3,0,1,0
239,64,1,19,1,34,34,1,15,0,4.2,1,2,1,1,5,1,0,1,1,0,1,1
240,49,1,13,1,51,44,0,24,2,2.9,1,1,1,1,47,2,1,1,1,0,1,1
241,47,1,23,1,45,25,3,21,3,3.5,1,2,1,1,29,0,3,1,2,0,1,1
242,36,1,9,1,88,7,1,15,3,4.1,1,2,1,1,43,5,1,1,3,0,1,3
243,55,1,4,3,85,31,0,7,2,4.3,1,5,1,1,40,3,2,1,0,0,1,0
244,25,1,12,0,100,16,1,13,3,2.8,1,0,1,1,4,3,4,1,3,0,1,3
245,53,1,1,0,42,36,2,9,1,4.9,1,0,1,1,39,4,6,1,3,0,1,3
246,49,1,14,2,53,38,0,4,2,3.3,1,3,1,1,45,5,3,1,1,0,1,0
247,35,1,22,0,86,27,3,0,1,3.2,1,1,1,1,20,5,1,1,2,0,1,3
248,29,1,23,1,66,25,3,3,1,4.4,1,4,1,1,14,3,6,1,2,0,1,0
249,47,1,1,0,100,37,1,2,3,4.8,1,1,1,1,33,4,6,1,3,0,1,3
250,53,1,7,0,47,1,2,20,0,4.2,1,4,1,1,18,2,0,1,3,0,1,2
251,33,1,19,1,25,23,0,1,0,4.0,1,1,1,1,9,0,6,1,1,0,1,1
252,21,1,7,0,51,49,3,6,3,2.5,1,4,1,1,34,4,0,1,2,0,1,0
253,32,1,18,1,41,7,1,22,2,3.9,1,2,1,1,33,5,3,1,1,0,1,3
254,52,1,3,2,73,35,0,5,3,4.9,1,0,1,1,15,0,1,1,0,0,1,1
255,67,1,22,0,42,13,1,23,3,3.5,1,5,1,1,4,4,1,1,1,0,1,0
256,43,1,15,0,20,19,1,4,1,4.2,1,2,1,1,25,3,0,1,3,0,1,3
257,58,1,12,0,30,40,3,22,1,4.7,1,1,1,1,20,2,2,1,2,0,1,1
258,20,1,7,0,53,47,1,18,2,4.5,1,1,1,1,5,2,5,1,3,0,1,1
259,61,1,6,0,74,0,2,10,1,2.8,1,1,1,1,16,1,5,1,3,0,1,1
260,32,1,11,1,57,17,1,6,0,2.9,1,4,1,1,13,3,0,1,3,0,1,0
261,38,1,8,0,57,25,2,18,3,3.2,1,0,1,1,11,2,2,1,2,0,1,1
262,21,1,11,1,77,4,0,11,3,4.9,1,4,1,1,21,2,0,1,1,0,1,2
263,37,1,13,1,40,10,1,20,2,3.7,1,3,1,1,6,3,0,1,1,0,1,0
264,27,1,18,1,46,14,1,17,2,4.3,1,5,1,1,29,5,4,1,1,0,1,0
265,36,1,13,1,78,5,2,4,0,3.9,1,5,1,1,15,1,0,1,2,0,1,2
266,32,1,0,0,59,21,1,7,1,3.2,1,0,1,1,17,0,1,1,3,0,1,1
267,51,1,12,0,75,17,0,23,2,3.1,1,1,1,1,32,2,6,1,1,0,1,1
268,64,1,23,1,54,19,1,13,1,3.9,1,0,1,1,42,5,0,1,1,0,1,3
269,68,1,17,2,42,9,1,4,1,2.6,1,5,1,1,21,1,4,1,1,0,1,2
270,68,1,2,1,44,9,1,4,3,3.3,1,3,1,1,9,1,1,1,3,0,1,2
271,33,1,11,1,52,33,3,14,0,4.6,1,2,1,1,16,0,0,1,2,0,1,1
272,65,1,22,0,69,19,3,24,2,4.6,1,1,1,1,42,2,3,1,2,0,1,1
273,48,1,12,0,26,36,1,0,2,4.4,1,0,1,1,37,3,1,1,3,0,1,3
274,69,1,4,3,33,33,2,19,1,4.2,1,1,1,1,32,3,5,1,0,0,1,3
275,59,1,12,0,32,19,1,9,1,3.0,1,1,1,1,28,1,1,1,3,0,1,1
276,48,1,0,0,85,45,3,10,3,4.0,1,1,1,1,13,2,6,1,2,0,1,1
277,25,1,19,1,30,40,3,21,0,3.5,1,1,1,1,11,0,3,1,2,0,1,1
278,29,1,16,1,29,9,1,8,3,3.0,1,5,1,1,36,0,1,1,1,0,1,2
279,57,1,23,1,95,10,1,14,1,3.7,1,1,1,1,23,3,0,1,1,0,1,3
280,23,1,20,2,69,3,0,21,2,4.0,1,4,1,1,37,0,4,1,1,0,1,2
281,45,1,14,2,69,25,2,5,0,4.2,1,0,1,1,21,1,1,1,2,0,1,1
282,38,1,1,0,61,35,3,4,1,2.5,1,4,1,1,22,3,1,1,2,0,1,0
283,21,1,19,1,94,22,1,20,2,3.0,1,0,1,1,9,1,4,1,1,0,1,1
284,32,1,23,1,30,25,2,12,0,3.2,1,3,1,1,16,5,0,1,2,0,1,0
